system	celltype_new	total_cells	age_weighted
Gastrulation	Midbrain	1228	44.960912052117266
Gastrulation	Hindbrain	1075	45.36
Gastrulation	Neural crest	721	46.70180305131761
Gut	Extraembryonic visceral endoderm	1660	13.44578313253012
Gut	Gut	21281	40.72477797096001
Gut	Pancreatic islets	932	175.59656652360516
Gut	Pancreatic acinar cells	3480	178.75689655172414
Gut	Biliary epithelial cells	1066	189.03377110694183
Gut	Lung progenitor cells	28164	190.24243715381337
Gut	Foregut epithelial cells	3988	193.19608826479438
Gut	Hepatocytes	156655	193.30421627142445
Gut	Midgut/Hindgut epithelial cells	29802	206.90738876585465
Gut	Intestinal goblet cells	952	209.14915966386556
Gut	Intestinal enteroendocrine cells	220	220.8272727272727
Gut	Airway goblet cells	135	226.53333333333333
Gut	Lung cells (Eln+)	254	235.13385826771653
Gut	Airway club cells	2265	241.7801324503311
Gut	Alveolar Type 1 cells	5304	243.9445701357466
Gut	Alveolar Type 2 cells	7181	246.2105556329202
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	29.146045929454306
Lateral_plate_mesoderm	Second heart field	3537	31.608142493638677
Lateral_plate_mesoderm	Allantois	31010	37.013866494679135
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	39.60180526015459
Lateral_plate_mesoderm	First heart field	28638	40.73454850199036
Lateral_plate_mesoderm	Somatic mesoderm	126739	42.15438026179787
Lateral_plate_mesoderm	Foregut mesenchyme	17976	56.336782376502
Lateral_plate_mesoderm	Amniotic mesoderm	25231	60.126986643414845
Lateral_plate_mesoderm	Proepicardium	9451	73.34144534969845
Lateral_plate_mesoderm	Splanchnic mesoderm	123694	75.95461380503501
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	80.06552253684296
Lateral_plate_mesoderm	Gonad progenitor cells	4229	89.55024828564673
Lateral_plate_mesoderm	Gut mesenchyme	56937	93.41914747879235
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	112.65997552019584
Lateral_plate_mesoderm	Meninges	5063	141.25775232075844
Lateral_plate_mesoderm	Mesothelial cells	37131	151.67391128706473
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	179.83880597014925
Lateral_plate_mesoderm	Lung mesenchyme	60258	186.1941650901125
Lateral_plate_mesoderm	Sertoli cells	1220	188.07049180327868
Lateral_plate_mesoderm	Vascular smooth muscle cells	15949	193.91861558718415
Lateral_plate_mesoderm	Leydig cells	245	203.0938775510204
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	204.00230031948882
Lateral_plate_mesoderm	Renal stromal cells	12270	206.5232273838631
Lateral_plate_mesoderm	Adrenocortical cells	2148	210.3072625698324
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	211.0937880633374
Lateral_plate_mesoderm	Ventricular cardiomyocytes	2215	216.1489841986456
Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	7384	220.1489707475623
Lateral_plate_mesoderm	Granulosa cells	76	225.78947368421052
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	30.549865871833084
Mesoderm	Dermomyotome	131041	46.68549537930877
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	55.369344229619294
Mesoderm	Sclerotome	475696	63.46736571255592
Mesoderm	Facial mesenchyme	378403	66.28209607217701
Mesoderm	Muscle progenitor cells	26992	83.20843212803794
Mesoderm	Chondrocytes (Atp1a2+)	97338	132.20205880539973
Mesoderm	Early chondrocytes	130217	139.03189291720744
Mesoderm	Dermatome	159301	155.29555997765237
Mesoderm	Myofibroblasts	39998	164.56092804640232
Mesoderm	Myoblasts	149216	164.72616877546645
Mesoderm	Fibroblasts	473634	170.01540429952243
Mesoderm	Myotubes	22340	188.9094897045658
Mesoderm	Adipocyte progenitor cells	19151	203.78163020207822
Mesoderm	Chondrocytes (Otor+)	6521	207.51019782241988
Mesoderm	Pre-osteoblasts (Sp7+)	86242	210.29387073583638
Mesoderm	Brown adipocyte cells	42631	240.0931716356642
Mesoderm	Adipocyte cells (Cyp2e1+)	4767	244.94776589049718
Notochord	Ciliated nodal cells	60	3.9999999999999996
Notochord	Notochord	3745	33.848331108144194
PNS_glia	Neural crest (PNS glia)	69628	52.239759866720284
PNS_glia	Myelinating Schwann cells	28658	144.81778212017588
PNS_glia	Myelinating Schwann cells (Tgfb2+)	5617	146.49100943564181
PNS_glia	Melanocyte cells	2274	157.64116094986807
PNS_glia	Satellite glial cells	4304	184.03299256505576
PNS_glia	Olfactory ensheathing cells	1991	199.47061778001006
PNS_neurons	Enteric neurons	4640	64.57887931034483
PNS_neurons	Neural crest (PNS neurons)	50974	77.26350688586338
PNS_neurons	Otic sensory neurons	7640	78.32041884816753
PNS_neurons	Dorsal root ganglion neurons	9289	166.164280331575
PNS_neurons	Sympathetic neurons	12782	166.99827882960415
PNS_neurons	Olfactory sensory neurons	20964	172.96823125357756
PNS_neurons	Parasympathetic neurons	5261	186.4892605968447
PNS_neurons	Corticofugal neurons	1413	203.34607218683652
Renal	Anterior intermediate mesoderm	7833	40.3301417081578
Renal	Posterior intermediate mesoderm	10584	47.175170068027214
Renal	Renal pericytes and mesangial cells	7231	57.21615267597843
Renal	Ureteric bud	3705	164.23805668016195
Renal	Ureteric bud stalk	253	168.498023715415
Renal	Metanephric mesenchyme	16036	193.9141930656024
Renal	Nephron progenitors	11348	208.41170250264364
Renal	Proximal tubule cells	7609	225.4955973189644
Renal	Collecting duct principal cells	840	225.74285714285713
Renal	Podocytes	2396	226.15191986644408
Renal	Connecting tubule	254	230.07874015748033
Renal	Distal convoluted tubule	639	233.41784037558685
Renal	Ascending loop of Henle	1728	233.62152777777777
Renal	Collecting duct intercalated cells	182	233.8021978021978
